question,answer,reference
Intermittent Explosive Disorder kya hai,"Dohra karne wali rawayya wali phatkhariyan jo shadid jazbati dabao par qaboo na pane ki nishani hoti hain, jahan agressiveness ki intensity be inteha barh jati hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Healthy aadat aur lat mein farq kaise pehchain?,Lat aisi cheez hai jo manfi nataij ke bawajood jari rehti hai aur jab aap rokne ki koshish karte hain tou ehm pareshaani paida karti hai.,World Health Organization Mental Health Manual
Schizophrenia mein positive symptoms kya hain?,"Positive symptoms normal functions ki tahrib ko zahir karte hain, jin mein mazboot ghalat aqeeday, sunti hallusinations, aur dhila taluq shamil hain.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Aamda sehat aur zehni sehat ke darmiyan kya talluq hai?,"Aamda aur dimagh vagus nerve ke zariye mutasil hain, ek sehatmand ghiza serotonin ki paidawari ko behtar kar sakti hai aur mizaj ko mustahkam kar sakti hai.",World Health Organization Mental Health Manual
How can I use distraction to manage difficult thoughts or feelings?,"Distraction is a very valid tool to help you cope when everything feels overwhelming or when you feel lonely or isolated. If you dont have a lot of energy or focus right now, try low-effort distractions like watching TV, browsing Youtube, listening to a podcast or audiobook, playing a game on your phone, reading an easy book or magazine, or working on a simple art project. If you have more energy and focus, give yourself a to-do list every day you can clean and take care of projects around your home, work on hobbies, connect with family or friends, read a new book and catch up on your favourite TV shows. You can find interesting opportunities to take online courses from universities all over the world through MOOCs and other online learning platforms, you can learn a new language online or through apps, and you can learn new hobbies and activities. As more people have to practice social distancing or self-isolation, people are finding creative ways to bring the world into their homes you can tour museums and art galleries, Skype with a scientist, watch animals at zoos and nature preserves, and more. When normal schedules are disrupted, its easy to fall into unhelpful habits. Look for ways to keep yourself on track with healthier habits. You could set yourself goals every day or turn activities into a fun competition with friends or familywhoever takes the most language classes wins Many communities are using social media platforms like Facebook to organize support and help for neighbours. If you are healthy and its safe to do so, you can sign up to walk dogs, pick up groceries and household supplies, and help others who cant go out at the moment. This can be a great way to make new connections in your area, and helping others is good for your own mental health. Just be sure to follow good hygiene practices and physical distancingyour own health is important.",World Health Organization Mental Health Manual
Kleptomania kya hai,"Kaam ka saman churaane ke liye jazbati dabao ke samne baar baar apni kapasiat na hone ka amal, jo cheezain naw shakhsi istemal ke liye ya unki keemat ke liye zaroori nahi hoti.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Mujhe antidepressant ya dusri zehni dawai di gayi hai lekin mujhe nahin lagta ke yeh kaam kar rahi hai. Main kya kar sakta hoon?,"Agar aapko apni dawaon ke bare mein fikr hai, toh doctor ya psychiatrist se baat karna zaruri hai jisne aapko dawa di hai. Kai antidepressants ke liye sudhar dekhne mein kuch hafton ka waqt lag sakta hai, magar doctor se expectations par baat karna acha hota hai. Agar aapko koi aise symptoms ya side effects mehsoos ho rahe hain jo pareshani ka sabab hain, toh aapke medication dene wale doctor se zarur baat karen. Agar aap common side effects ke baare mein kisi behtareen professional se baat karna chahte hain, toh apne pharmacist se raabta karen. Achi baat yeh hai ke aap bina health care provider se baat kiye dawa lena rokne ya dose change karne se parhez karen. Jab aap behtar mehsoos karna shuru karte hain, dawa lena rokna mana hai, doctor ki hidayat ki pabandi zaruri hai. Kabhi kabhi log dawa se allergic reaction bhi kar sakte hain. Kuch reactions serious nahin hotay, jaise ke daane.",National Institute of Mental Health Clinical Guide
Good morning,Good morning. Umeed hai ke aap ka din munazzam aur mutawazan guzray ga.,OpenAI Clinical System Framework
Akinesia kya hai,"Motor dysfunction ki ek halat jisme voluntary jismani harkat ki kami ya bohat kam miqdaar mehsoos hoti hai, jo pseudoparkinsonism mein aam hoti hai.",Oxford Textbook of Psychiatry
Depression ke liye khud madad ke maaloomat kahan se hasil kar sakta hoon?,"Khud madad ke wasail tashkhees ya ilaaj ka badal nahi hain. Agar aap apne mood ke girnay ke bare mein fikrmand hain, to behtar hai ke sab se pehle apne doctor se baat karen aur apne alamaat ke jismani wajahein door karain. Lekin jab aap ne apne doctor se check-up kar liya hai, to khud madad ke maaloomat seekhne aur mukhtalif skills apni raftar se ya ilaaj ke darmiyan practice karne ka behtareen tareeqa ho sakti hain. Yahan kuch wasail hain jo ap dekh sakte hain. Antidepressant Skills Workbook do BC ke psychologists ne tayar kiya hai. Is mein aap depression ke bare mein zyada seekhenge, mukhtalif skills practise karenge jo mood behtari mein madadgar hain, aur seekhenge ke apni zindagi ke dusre hisson mein sehatmand tabdeeliyan kaise aapke mood ko asar karti hain. Unke paas specific groups ke liye bhi workbooks hain: Dealing With Depression Antidepressant Skills for Teens, ek workbook logon ke liye jo workplace mein depression ka samna karte hain Antidepressant Skills at Work Dealing with Mood Problems in the Workplace, ek workbook expectant ya new mothers ke liye Managing Depression A Self-help Skills Resource for Women Living With Depression During Pregnancy, After Delivery and Beyond, aur logon ke liye jo sehat ke masail se guzarte hain Positive Coping with Health Conditions A Self-Care Workbook. HeretoHelp site par Managing Depression series teen info sheets pesh karti hai: Dealing with a Diagnosis of Depression, Working With Your Doctor for Depression, aur Preventing Relapse of Depression. Ye series aap ko apni sehat ki dekh bhal mein active partner banne mein madad deti hai, sehatmand coping skills aur self-management strategies seekhne mein madad deti hai, aur zyada. Aksar depression se tawajjo aur motivation kam ho jati hai jo self-help maaloomat par akela kaam karne mein mushkil paida karta hai. Agar aap ko thodi si extra support chahiye ek shakhs se, to Bounce Back Reclaim Your Health aik guided self-help program hai British Columbians ke liye jinhein mild se moderate depression, low mood, stress, ya anxiety ka samna hai. Aapko DVD milti hai jis mein tips hoti hain jo aapko depression ke alamaat pehchananay aur manage karne mein madad karti hain, ya aap ghar par workbooks ke series mein zyada gehrai se skills seekh sakte hain. Aap ek trained coach ke sath bhi kaam karte hain jo Canadian Mental Health Association ka hissa hota hai aur phone ya video conference se support aur mashwara deta hai. Bounce Back free hai doctor ke referral se. Mazeed maloomat ke liye www.bouncebackbc.ca dekhein. Agar aap coach ya referral ke baghair Bounce Back materials tak online BC mein hasil karna chahte hain to www.bouncebackonline.ca hai. Mood Disorders Association of BC ke paas mental health, madad mangne, aur dusre mawazuyat par kai videos hain. Kelty Mental Health Resource Centre young logon aur khandan ke liye websites, toolkits, kitaaben aur dosray resources ki mukammal list rakhta hai. Heads Up Guys mardon ke liye healthy living ke tips aur strategies offer karta hai jo depression se guzarte hain. BC Reproductive Mental Health Program ke paas women ke liye postpartum depression manage karne ka self-management guide hai jiska naam Coping with Depression in Pregnancy and Following the Birth hai. Aboriginal women aur unke khandan ke liye ek guide hai Celebrating the Circle of Life coming back to Balance and Harmony. Ye resources BC ke bahar ke hain lekin ache maloomat offer karte hain. MoodGYM Training Program Australia ka web-based self-help course hai jo depression se guzarnay walon ke liye hai aur free hai. Moodjuice UK ka initiative hai jo self-help workbooks deta hai, jis mein depression wala bhi shamil hai. Kai kitaabein aur workbooks hain jo depression se guzarnay walon ke liye madadgar hain. Apne mental health care team se recommendations lein. Aap local bookstores mein ya mental health ke specialty bookstores jaise Odin Books Vancouver mein mil sakte hain. Aap online bhi order kar sakte hain. BC mein aap Family Support and Resource Centre se BC Childrens and Womens Hospitals mein books free mein borrow kar sakte hain. Unke paas depression ke liye self-help aur reference materials hain aurat, unke partners, parents, aur bachon aur naujawano ke liye.",National Institute of Mental Health Clinical Guide
How can I tell if health information is good or bad?,"Anyone can post anything online. Its up to the readers to think critically about information to decide if it seems helpful, truthful, or safe. Here are key points to keep in mind as you determine which information is worth considering and which information doesnt pass the test. Its so easy to spread information online, and we cant assume that the source were reading or watching is the original source. Before you can evaluate anything, you need to know where the claims come from and determine if its a reliable source. Reliable sources on the coronavirus and COVID-19 illness include the World Health Organization WHO, Government of Canada ministries and agencies like Health Canada and the Public Health Agency of Canada, the Government of BC ministries and agencies like the BC Ministry of Health, and the BC Centre for Disease Control BCCDC. Scientists and researchers at universities and other institutions and health sciences professionals are also important sources of information. Headlines and titles need to be simple and short, so they can sometimes be misleading on their own. They may also be purposefully shocking or controversial to entice you to click to read more. Websites that belong to governments, government-funded agencies, well-known health providers, universities, or groups of medical professionals are generally the most reliable. Be careful of sites that dont list the author or dont tell you much about themselves. Double-check the author and the credentials of any experts quoted or cited to see if they are actually experts in the topic being discussed. Can you find other evidence from other sources to support the claims? Does the author list their sources? Are the sources legitimate, like research journals? Unhelpful sources want you to feel a certain way scared, angry, distrustful, vulnerable. Phrases like Skyrocketing rates of infection are sensational and theyre meant to make people feel afraid. On the other hand, factual statements like We have 50 new cases in BC give you important information without playing into your emotions. Helpful news or information sources want you feel informed and empowered. Who is paying for the site? What products or services are being advertised? What links or other sites do they promote? Are you learning something from a story or experience, or are you simply being directed to buy a product or service? Social media can be a great way to keep in touch with family and friends, especially as we practice physical distancing or self-isolation. Social media can also be an important way to learn from health experts and connect to support services and mutual aid groups in your community. Like any other source of information, its important to use good critical thinking skills when you use social media. Studies find that searching for health information on social media generally has very mixed results. Youll see both very poor-quality sources next to good-quality sources, and its up to you to decide which is which. In addition, social media posts tend to be short and rarely capture everything you need to consider. They are generally useful as a way to start learning or exploring different points of view rather than a place to gather all the information. Visit www.mediasmarts.ca to learn more about digital and media literacy Visit www.healthnewsreview.org to learn more about thinking critically around health claims this resource is no longer updated daily, but all toolkits and lessons are still available This page is adapted from the Evaluating Mental Health and Substance Use Information info sheet.",World Health Organization Mental Health Manual
Depersonalization kya hai,"Ek dissociative alagav jisme insan apne zehni amal, jisam, ya jismani harkaton ka baahir se nigehbaan hone ka ehsas karta hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Nayi dawa shuru karne se pehle mujhe kya jaanna chahiye?,"Dawayi malumat ka behtareen zariya doctor hai jo dawa prescribe karta hai. Woh aapke sawalat ke jawab dene mein qadir hona chahiye jaise: 1. Yeh dawa kya karti hai? 2. Kab iska asar shuru hoga aur kaise pata chale ke yeh asar daar hai? 3. Dawa kaise aur kitni der tak leni hai? Konse ghizayein, mashroobat, dusri dawayen aur sargrmiyan is dawa ke dauran parhez karni chahiyein? 4. Side effects kya ho sakte hain aur agar hon to kya karna chahiye? 5. Agar dose miss ho jaye to kya karna chahiye? 6. Kya is dawa ke mutalliq koi likhi hui malumat dastiyab hai? 7. Kya aur koi dawayen munasib ho sakti hain? 8. Agar haan, to aap ne jis dawa ka intekhab kiya hai uski kyu pasandidgi hai? 9. Aap dawayon ki monitoring kaise karte hain aur konsay alamat is baat ka isharah hain ke dose badhai jaye, kam ki jaye, ya tabdil karni chaiye? 10. Sab dawayen hidayat ke mutabiq leni chahiyein. Zeheni bemari ke liye ziadatar dawaein agar ghair munazzam li jaayein to kaam nahi karti aur zyada dose se sakht ya khatarnak side effects ho sakte hain. Bohat se zeheni davaein chand hafton tak lene ke baad hi behtari ka asar dikhati hain.",World Health Organization Mental Health Manual
Psychiatric mental status examination kya hai,Ek munazzam clinical assessment alat jo mareez ke hal hi ke zehni haal aur cognitive functioning ko nizam se observe aur wazeh karta hai.,Oxford Textbook of Psychiatry
Somatic Symptom Disorder kya hai,Aisi haalat jisme shakhs ko wazeh jismani alamat ka samna hota hai jo kafi tazleel aur sehat ke baare mein ziada fikr ya bechaini se mutaliq hoti hain.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Psychological istilahaat mein Xenophobia kya hai,"Ek clinical izafa hai social anxiety ka jo beja, shadid khauf ya sakht nafrat paida karta hai ajnabi afraad ya ghair mulki logon ke liye.",World Health Organization Mental Health Manual
Agar mein apni zehni sehat ke khatrey mein hoon to mein kya karoon?,"Sab se zaruri baat yeh hai ke aap kisi aise shakhs se baat karein jisse aap yakeen karte hain. Yeh koi dost, saathi, family member, ya GP ho sakta hai. Kisi se baat karne ke ilawa, yeh bhi mufeed ho sakta hai ke aap apne tajurbe ke baray mein mazeed maloomat hasil karen. Yeh cheezen aapko samajhne mein madad kar sakti hain ke aap kya feel kar rahe hain aur madad hasil karne ka aaghaz ho sakti hain.",World Health Organization Mental Health Manual
Thought Insertion kya hai,"Aisi delusion jisme shakhs samajhta hai ke uske zehan mein khayalat zabardasti kisi baahir wali agency ya machine ke zariye dalay ja rahe hain, na ke andar se paida ho rahe hon.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Pseudodementia kya hai,Ek aisi kliniki surat-e-haal jahan buzurg afraad mein shadid depressive symptoms asal neurodegenerative dementia ke cognitive nuqsanat ki naqal karte hain.,Johns Hopkins Psychiatry Patient Guide
Echopraxia kya hai,"Pathological, be-ihtiyati dusray fard ke jismi harkat ya isharko ki naqal ya tadbeer jo klinical interview ke dauran dekhi jati hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Post-Traumatic Stress Disorder kya hai,"Post-Traumatic Stress Disorder aik anxiety ki halat hai jo shadeed saaqat ke baad paida hoti hai, jis mein dil kharab karne wale yaadon, parhez, aur hyperarousal shamil hain.",National Institute of Mental Health Clinical Guide
Word Salad kya hai,"Lafzon aur jumlon ka azeem be-tarteeb aur be-rabt mix jo kisi mantiqi ya makhsoos maana se khali hota hai, aur shaiziophrenia ke aala marahil mein aam tor par dekha jata hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Box breathing kya hai?,"4 ki ginti tak saans andar lein, 4 ki ginti tak rokein, 4 ki ginti tak saans bahar chhorain, phir 4 ki ginti tak rokein. Yeh ek taqatwar tareeqa hai jo behtreen performers dabao ke neeche pur-sukoon rehne ke liye istemal karte hain.",World Health Organization Mental Health Manual
Mere zindagi mein koi bada shakhs beemar lag raha hai lekin woh madad nahi le raha. Main kya kar sakta hoon?,"Jab koi bara buzurg bacha, bhai, walid, dost, co-worker ya koi aur ahem shakhs pareshan ya khud nuqsan pohanchane wale rawaiyay mein ho, toh yeh mushkil halat ho sakti hai. Yeh naazuk soorat-e-haal hai aap madad karna chahte hain, lekin aksar bare buzurg apni dekhbhaal ke zimmedar khud hote hain. Do ahem nuqaat sochnay layak hain. Pehla, health condition ki tashkhees, khaas tor par jab symptoms online asani se check kiye ja sakte hain, khatarnaak ho sakti hai. Tashkhees professional ke liye hi best hoti hai jo poora haal dekhta hai. Yeh bhi yaad rakhein ke jis shakhs ki aap fikr karte hain woh apni mushkilat aur zindagi par unka asar alag tareeqay se samajhta hai. Doosra, siwaye chand namunat ke, jo shakhs ilaaj le raha hai woh apne recovery mein hissa lena zaruri hai, jaisay kisi aur sehat ke maslay mein hota hai. Zyada taar surat mein aap yeh kaam unke liye poori tarah nahin kar sakte aur koshish rishte ko nuqsan pohanchata hai. Apni fikr aazadana bayan karen, jo asaraat aap dekh rahe hain wo samjhayen, unka nuktah-e-nazar sunein aur mil ke hal nikaalain, chahe aap ko thora compromise karna paaye. Aap unke sath appointment par jaane ki offer kar sakte hain, online screening ya self-test karne ke liye encourage kar sakte hain, ya kisi aur kareebi ko involve kar sakte hain jo fikarmand ho aur unhe madad lene par raazi kar sakay. Kyunke aap frustrated ya be madad mehsoos kar sakte hain, is waqt apne liye support lena zaruri hai, khaas tor par agar aap us shakhs ke qareeb hain jiske liye aap fikrmand hain. Zarurat parne par kisi ko madad dilwana zaruri hai, lekin yeh sab ke liye dukhda war ho sakta hai.",World Health Organization Mental Health Manual
Caretaker hone ke stress ko main kaise manage karun?,Khali pyale se paani nahi diya ja sakta. Support group join karein aur apni khud ki zarooriyat ke liye waqt nikaalain respite care ke liye.,World Health Organization Mental Health Manual
Mujhe bina kisi wajah ke itni gusse ki feeling kyun hoti hai?,Ghair hal shuda stress ya dabai hui jazbaat aksar be wajah gussa ban kar samne aate hain. Koshish karein ke asal masla kya hai jo andar chhupa hua hai.,World Health Organization Mental Health Manual
Apne ya apne bache ke liye munasib zeheni sehat ka professional kaise dhoondhu?,Jo professional aap ya aapka bacha apna ilaj kar raha hai uske sath rahat mahsoos karna aapke ilaj ki kamyabi ke liye zaruri hai. Jo professional aapki zarurat ke mutabiq ho usay dhoondhna kuch tehqiqat talab kar sakta hai.,World Health Organization Mental Health Manual
Kisi jise main fikr karta hoon usse dimaghi chot lagi hai. Zyada maloomat kahan milegi?,"Dimaghi chot khud mental illness jaisi nahin hoti, lekin jo insaan dimaghi chot se guzar raha ho sakta hai ke usse mental health masail ka samna bhi ho. Yeh mental health problems chot se ya chot ke hawaley se aane wale jazbat, jaise khoon hona, gussa ya frustration, quality of life ke badlaw se ho sakti hain. Kuch suratoun mein mental health ke masail dimaghi chot se mutaliq nahin hotay. Achhi baat yeh hai ke mental health issues ilaj ke laayak hain, chahe aap ya jo aap fikr karte hain usse dimaghi chot lagi ho. Aisi service provider dhoondein jo dimaghi choton aur mental health dono mein maharat rakhta ho.",World Health Organization Mental Health Manual
Mujhe therapi kahan mil sakti hai?,"Therapi ki mukhtalif qisamhein zyada moasar hoti hain jo zeheni sehat ke halat aur alamat aur un shakhs par mabni hoti hain jinke paas wo hain. Misal ke taur par, bachon ko aisay therapist se faida hota hai jo bacho ki zeheni sehat ki takhassus rakhte hain. Lekin, kayi mukhtalif ilaj aur therapy ke tareeqe hain jo madad kar sakte hain.",American Psychological Association Clinical Guidelines
Generalized Anxiety Disorder ke bunyadi khusoosiyat kya hain,Bunyadi khusoosiyat mein rozana zindagi ke waqiat ke hawalay se musalsal aur qaboo se bahar fikr shamil hai jiske sath bechaini aur shadeed autonomic aaghaaz hota hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
"How can I find a doctor, psychiatrist, psychologist, or counsellor?","To find a family doctor general physician, visit the College of Physicians and Surgeons of BC to use their Find a Physician tool. You can also see a family doctor at a local walk-in clinic, though its helpful to find a regular doctor if you have ongoing care needs. You can also find a psychiatrist through the College of Physicians and Surgeons of BC. Be aware that you almost always need a doctors referral to see a psychiatrist. You can find a registered psychologist through the BC Psychological Association and the College of Psychologists of BC. To find a clinical counsellor, visit the BC Association of Clinical Counsellors. For more on the differences between these service providers, see the article The Right Path for You Finding your way to and through services in BC from the Finding the Right Help Navigating the System issue of Visions Journal.",World Health Organization Mental Health Manual
Rationalization kya hai,Aisi tasdeeqi aur mantiqi wajuhat create karna jo asal mein na-pasandida maqsad ke liye ki gayi rawaiye ya nateejon ko jaiza banayein.,Oxford Textbook of Psychiatry
Gustatory Hallucination kya hai,"Jhootay zaiqa ka hoshyaar dosh, aam tor par na-pasandida ya dhatu jaisa, jo bina kisi khane ya peene ki cheez ke mooh ke andar hota hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Substance Use Disorder kya hai,Ek zehni rawayya jahan shakhs chemical madah istemal karta rehta hai jabke uske nateejon se paida honay wali mushkilat aur dasti amal mein kharabi ho rahi hoti hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Perseveration kya hai,"Kisi khaas zabani jawab, lafz, ya motor ishaare ka pathological daurani tak dohraana jabke pehla stimulus hata diya gaya ho.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Global Aphasia kya hai,Zubani dysfunction ka aik shadeed shakl jo mukammal taur par bolne aur samajhne ki salahiyat kho dene ki nishani hai.,Harvard Medical School Mental Health Guide
Nightmare Disorder kya hai,"Aise khawab jo musalsal bar bar aate hain, bohat zyada na pasandida aur yaad rehnay walay hote hain, aur aksar zindagi, hifazat, ya jismani salamatgi ke khataron se mutaliq hote hain.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Conduct Disorder kya hai,Naujawanon mein ek takraari rawayya ka pattern jahan dusron ke bunyadi huqooq ya umar ke mutabiq samaji qawaid aam tor par toda jata hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Displacement kya hai,Ek na manzoor shuda jazbati jazbaat ko asal khatarnak nishanay se hata kar kisi mehfooz aur kam khatarnak baahirooni cheez ya shakhs par muntaqil karna.,Oxford Textbook of Psychiatry
Euthymia kya hai,"Ek normal, mustahkam, aur ghair-depress mental mood ki halat jo sehatmand fard ke bunyadi jazbati tawazun ki numaindagi karti hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Magnification aur Minimization kya hai,Soch ki ghalat tareeqa jahan shakhs apni kamzori ko bohat bara dikhata hai aur apni kamiyabi ko bilkul chhota kar ke moham nahi samajhta.,Beck Institute for CBT
Sublimation kya hai,"Na-pasandida fitri jazbat ya ghusse ke amal ko samaji taur par taamiri, paidar aur takhleeqi saragarmiyon mein tabdeel karna.",Oxford Textbook of Psychiatry
Jealous Delusion kya hai,"Yeh mustaqil aur ghalat yaqeen ke ek kaamilati partner ya shohar/shohra unke saath bewafai kar raha hai, jo kisi haqeeqi medical saboot ke baghair barqarar hota hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Illness Anxiety Disorder kya hai,"Gambhir, be tashkhis medical bemari hone ya usay pane ki fikr jo ke asal mein numayan jismani alamat se mehroom hoti hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Bipolar II Disorder ki wazahat kya hai,Bipolar II Disorder mein sewari manic rawaiye ke baghair hypomanic aur major depressive episodes ki tareekhi mojoodgi zaroori hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
How can I see a counsellor?,"You can find directories of counsellors through their professional organizations. Registered Clinical Counsellors visit the BC Association of Clinical Counsellors Canadian Certified Counsellors visit the Canadian Counselling and Psychotherapy Association Canadian Professional Counsellors visit the Canadian Professional Counsellors Association For more specialized counselling professionals, such as Marriage and Family Therapists, see the Federation of Associations for Counselling Therapists in British Columbia. You can make an appointment on your own. You dont need a doctors referral to see a counsellor. Counsellors are not usually covered by MSP, so youll have to pay for the cost of the appointment yourself. Workplace extended health benefits, Employee Family Assistance Programs, or private health insurance plans may help cover some costs. Some counsellors may offer a sliding scale based on your income. If youre facing financial hardship, you can ask when you make the appointment. Learn more about lower-cost options to access counselling or email us with your location and our information and referrals team can see what options there may be in your community. If you see a counsellor through a public mental health centre like a mental health team or outpatient psychiatry program, it will still be covered by MSP. Talk to your care provider if you have questions or want to learn more. Indigenous community members can access some counselling services locally or through the First Nations Health Authority. Contact your local Band or local Friendship Centre, or contact the First Nations Health Authority.",World Health Organization Mental Health Manual
Alcohol Withdrawal Syndrome kya hai,"Jis mein sakht aur lambe arsey tak sharaab peene ke baad uska istemal rok dene par jismani aur zehni alamat ka ikatha hona hota hai, jis mein kampan shamil hai.",World Health Organization Mental Health Manual
Dependent Personality Disorder kya hai?,"Ek shakhsiyat ki haalat jismein zabardast aur mustarid zehni zarurat hoti hai ke kisi ki dekhabhaal ki jaye, jis se ghulami jaisi rawaiyat barh jati hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Catatonic Stupor kya hai,Psychomotor activity mein gehri kami jahan mareez poori tarah se beharakat rehta hai aur bahari maholiati asrat ka jawab nahi deta.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Agar meri anxiety mujhe jismani tor par beemar mehsoos karwa rahi hai tou mujhe kya karna chahiye?,5-4-3-2-1 tareeqa jaisi grounding techniques par tawajjo dein aur doctor se mashwara karein taake dusre tibbi masail ko nazarandaz kiya ja sake.,National Institute of Mental Health Clinical Guide
Mein mental health care ke liye paise kaise ada karoon?,"Aapko khud apne kharche uthana hongay. Yeh koi raaz nahi ke yeh khidmaat mehngi ho sakti hain, magar aap apne ya apne qaribi ke office ke extended health coverage ke zariye kharche kam kar sakte hain. Employee Family Assistance Program thi bhi apke ya apke qaribi ke office ki taraf se ho sakti hai. Talib-e-ilm apne school ya campus mental health services se faida le sakte hain. Indigenous community ke members apne Band, Friendship Centre, Indigenous support organization, ya First Nations Health Authority through services hasil kar sakte hain. Saqaafat ya mazhabi communities bhi kuch mental health services de sakti hain. Shayad aap apne mental health condition ke ilaaj ke bade kharche income tax return ke health expenses ke zariye claim kar sakte hain. Kuch providers lower-cost services ya sliding scale based on income offer karte hain. Yeh aapke income ya treatment par mabni hota hai.",World Health Organization Mental Health Manual
Zeheni bemari ke kuch khabar dainay walay nishane kya hain?,"Zeheni sehat ke amraz ke alamat halat ki qisam aur shiddat par munhasir hote hain. Niche aam alamat ki fast hai jo zeheni amraz ki uztarab ka isharah de sakti hain, khasusan jab kai alamat aik sath zahir hon. Baligh afrad mein: Gumrah sochna, lambi muddat tak udasi ya jalan, jazbat mein behad ooi aur neechai, ziada khauf, fikr, ya tashweesh, samaji tanhai, khane ya sone ke udalis tabdili, shadid gussa, wahm ya hasasat (aise cheezein dekhna ya sunna jo asal mein nahin hoti), rozana araz aur masail se nitjhanay ki qabiliyat mein izafah, khudkushi ke khayalat, saf masail ko na manna, anek ghair wazeh jismani masail, daru aur madah-e-muzahmat ka istimal. Balgh bachon aur puri umr ke bachon mein: Daru aur madah zat ka istemal, rozana masail se nitjhanay mein nakami, sone ya khane ki adat mein tabdili, jaismi shikayat mein ziadti, hukumat ke mukhalaf kirdar, school chorna, chori karna ya asqaat ko nuqsan pahunchna, wazan barhnay ka shadid khauf, lambi muddat tak manfi jazbat, aksar gusse ke phatne. Chhotay bachon mein: School mein kar gardi mein tabdili, mazbut koshish ke bawajood kharab numbr, ziada fikr ya tashweesh, zyada activity, musalsal buri khwab, musalsal nafarmani aur shadid rawaiyye, bar bar gusse ki jhalak.",World Health Organization Mental Health Manual
